Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37868,0,0,0,0,0,0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000000,75000000,130000000,143000000,505000000,3085000000,1640000000,2939000000,2864000000,3031000000,3174000000,3334000000,3467000000,3640000000,3936000000,7434000000,11096000000,15687000000,29818000000,48011000000,70205000000,1.00573E+11,1.32469E+11,1.93807E+11,2.29877E+11,0,0
Emigration rate of tertiary educated (% of total tertiary educated population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009029532,0,0,0,0,0,0,0,0,0,3.791049094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Employers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expense (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export value index (2000 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.262874042,8.830953078,8.956954772,8.91883324,10.48903906,10.97498826,12.41638343,15.8252509,19.06718619,21.08241073,24.91583167,28.85599291,34.0846619,36.81496611,48.55720035,59.70233103,60.61243243,73.35064185,73.71981878,78.22177101,100,106.7796134,130.6549279,175.8518156,238.0894291,305.75595,388.8307926,489.7437029,574.1074546,482.1819962,633.1199865,761.7809577,822.1064754,886.4279322,939.9136447,912.889893,0
Female share of employment in senior and middle management (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firms with female top manager (% of firms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0
"Foreign direct investment, net (BoP, current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386000000,-543000000,-1124000000,-1030000000,-1425000000,-1669000000,-2344000000,-2613000000,-2657000000,-3453000000,-7156000000,-23115000000,-31787000000,-33849200000,-38066000000,-41674000000,-41117000000,-36978000000,-37483300000,-37357000000,-46789569179,-49444853744,-60144670468,-90379127564,-1.0015E+11,-1.39095E+11,-1.14792E+11,-87167067370,-1.8575E+11,-2.31652E+11,-1.7625E+11,-2.17958E+11,-1.44968E+11,-62058344183,0
"Foreign direct investment, net inflows (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209662411,0.275699646,0.483945868,0.536049413,0.623421869,0.847702594,1.022558035,0.97565266,0.966306715,1.138839205,2.613165162,6.186887341,5.98715018,4.880443471,4.651828567,4.600337234,4.251620145,3.542329656,3.475083606,3.51300285,3.609100618,3.487404196,3.483640272,4.55425411,4.842520059,4.398685196,3.730469491,2.564740347,3.994732016,3.698517116,2.817739005,3.028225676,2.557600497,2.258169812,0
GDP (current US$),59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688E+11,1.38544E+11,1.44182E+11,1.63432E+11,1.5394E+11,1.74938E+11,1.49541E+11,1.78283E+11,1.9115E+11,1.95865E+11,2.05092E+11,2.30686E+11,2.59946E+11,3.09486E+11,3.00759E+11,2.72973E+11,3.12354E+11,3.47767E+11,3.60859E+11,3.83373E+11,4.26915E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63746E+11,9.61603E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,0
GINI index (World Bank estimate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.83,0,0,0,42.16,0,0,0,0
Gross domestic savings (current US$),23283776099,11345357056,7774798928,11357543261,14769680721,19087659436,23344707125,17511576895,17828418231,20249411000,30286782029,33922333252,36078571110,46084246506,47047725882,56882460480,51282579582,59478953601,56621951220,64726086957,66479166667,65980158730,72067795621,78309211981,91497604081,1.11717E+11,1.08827E+11,1.0545E+11,1.21739E+11,1.28753E+11,1.37492E+11,1.52132E+11,1.77072E+11,1.90585E+11,2.42661E+11,3.07023E+11,3.55246E+11,3.83058E+11,4.15303E+11,4.18814E+11,4.49994E+11,5.22975E+11,5.87708E+11,7.23596E+11,9.03897E+11,1.08642E+12,1.36683E+12,1.80078E+12,2.31553E+12,2.58823E+12,3.12704E+12,3.79193E+12,4.2754E+12,4.78752E+12,5.19043E+12,5.40896E+12,0
Gross savings (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72824787987,79697606617,93214604081,1.128E+11,1.09183E+11,1.05495E+11,1.22034E+11,1.2931E+11,1.38729E+11,1.53742E+11,1.78442E+11,1.90834E+11,2.4196E+11,2.96682E+11,3.44939E+11,3.77199E+11,4.02939E+11,4.09288E+11,4.4164E+11,5.12295E+11,5.85747E+11,7.30827E+11,9.21662E+11,1.09418E+12,1.38976E+12,1.84592E+12,2.38725E+12,2.61135E+12,3.14166E+12,3.74607E+12,4.25902E+12,4.70096E+12,5.20518E+12,5.29724E+12,0
"Hospital beds (per 1,000 people)",0,0,0,0,0,1.440000057,1.519999981,1.5,1.450000048,1.450000048,1.539999962,1.580000043,1.710000038,1.769999981,1.850000024,1.919999957,2,2.069999933,2.140000105,2.200000048,2.230000019,2.25,2.25999999,2.289999962,2.329999924,2.369999886,2.400000095,2.480000019,2.539999962,2.559999943,2.579999924,2.599999905,2.619999886,2.630000114,2.630000114,2.609999895,2.549999952,2.549999952,2.529999971,2.519999981,2.519999981,2.519999981,2.450000048,2.2,3,2.45,2.23,0,0,4.2,3.56,3.8,0,0,0,0,0
Household final consumption expenditure (current US$),30128361362,33174912666,34068567715,34291981477,36136160533,38650580876,41477780486,43931269803,43732228451,45807945406,49021041514,51263303274,59427197007,72006635166,74801142158,82186256587,81822396209,88696307460,71508130081,87563661930,97370124175,1.04267E+11,1.09432E+11,1.23408E+11,1.3177E+11,1.57396E+11,1.53435E+11,1.35596E+11,1.54982E+11,1.77692E+11,1.80402E+11,1.83702E+11,1.93284E+11,1.95681E+11,2.48832E+11,3.36174E+11,4.04854E+11,4.41824E+11,4.68913E+11,5.06323E+11,5.67595E+11,6.12639E+11,6.65415E+11,7.16972E+11,8.04501E+11,9.18107E+11,1.055E+12,1.31178E+12,1.65985E+12,1.8541E+12,2.15733E+12,2.73206E+12,3.14524E+12,3.54696E+12,3.94797E+12,4.27106E+12,0
Incidence of HIV (% of uninfected population ages 15-49),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.020827205,0,0,0,0,0.000158545,0
"Incidence of tuberculosis (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,105,102,98,95,92,89,86,85,83,78,77,76,72,69,67,0
Individuals using the Internet (% of population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,0
"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.219985792,18.73642675,18.333044,3.058310672,3.5435753,6.340344882,14.583266,24.23708802,16.89706397,8.324015061,2.806843185,-0.844626159,-1.40789153,0.255304778,0.722902508,-0.765949287,1.155909711,3.884182625,1.821647757,1.463189043,4.750296622,5.864383723,-0.702949137,3.314545929,5.410850058,2.624920936,2.627118644,1.996847084,1.442555384,2.007556207
"International tourism, number of arrivals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20034000,22765000,23770000,25073000,27047000,31229000,33167000,36803000,32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000,55686000,55622000,56886000,0
"International tourism, expenditures for travel items (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3688000000,4474000000,8130000000,9205000000,10864000000,13114000000,13909000000,15398000000,15187000000,19149000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,1.01977E+11,1.28576E+11,2.34662E+11,2.922E+11,0
"Labor force, female (% of total labor force)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22812629,45.21747228,45.19269815,45.1624526,45.13278156,45.10886234,45.0957372,45.0843207,45.07553878,45.07355266,45.07851139,44.99069788,44.90253417,44.81123085,44.70788446,44.59509626,44.48502966,44.37073642,44.25457191,44.13535704,44.01226541,44.00693516,43.99002909,43.97765446,43.9515668,43.87559617,43.797099
"Labor force with advanced education, male (% of male working-age population with advanced education)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Life expectancy at birth, total (years)",43.354,43.67334146,44.39834146,45.57887805,47.18956098,49.13931707,51.28219512,53.42980488,55.4275122,57.19187805,58.68080488,59.90797561,60.95934146,61.90646341,62.76812195,63.55865854,64.28258537,64.93653659,65.52321951,66.04968293,66.5215122,66.93985366,67.3077561,67.6287561,67.91036585,68.15707317,68.37180488,68.55943902,68.72543902,68.88029268,69.0305122,69.18209756,69.33963415,69.50921951,69.69992683,69.92641463,70.19982927,70.52268293,70.89046341,71.29712195,71.73046341,72.17578049,72.61487805,73.03312195,73.41995122,73.76695122,74.07170732,74.34043902,74.58326829,74.80326829,75.00741463,75.20217073,75.39292683,75.58514634,75.78226829,75.98634146,0
"Life expectancy at birth, male (years)",42.014,42.347,43.052,44.174,45.692,47.532,49.57,51.642,53.608,55.387,56.933,58.247,59.393,60.425,61.353,62.185,62.926,63.578,64.152,64.657,65.102,65.494,65.838,66.139,66.405,66.64,66.844,67.017,67.163,67.292,67.411,67.526,67.645,67.778,67.937,68.143,68.413,68.75,69.149,69.602,70.089,70.587,71.07,71.518,71.918,72.265,72.56,72.818,73.054,73.274,73.484,73.689,73.89,74.091,74.293,74.5,0
"Life expectancy at birth, female (years)",44.761,45.066,45.812,47.054,48.762,50.827,53.08,55.307,57.338,59.087,60.516,61.652,62.604,63.462,64.254,65.001,65.707,66.363,66.963,67.512,68.012,68.458,68.851,69.193,69.491,69.75,69.976,70.179,70.366,70.548,70.731,70.921,71.119,71.327,71.551,71.799,72.076,72.384,72.719,73.077,73.454,73.844,74.237,74.624,74.997,75.344,75.659,75.939,76.189,76.409,76.607,76.791,76.971,77.154,77.346,77.547,0
"Literacy rate, adult total (% of people ages 15 and above)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.50509,0,0,0,0,0,0,0,77.78506,0,0,0,0,0,0,0,0,0,90.92021,0,0,0,0,0,0,0,0,0,95.12448,0,0,0,0,96.35745,0
"Literacy rate, youth total (% of people ages 15-24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.77334,0,0,0,0,0,0,0,94.28147,0,0,0,0,0,0,0,0,0,98.85873,0,0,0,0,0,0,0,0,0,99.64229,0,0,0,0,99.72886,0
"Losses due to theft, robbery, vandalism, and arson (% sales)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manufacturing, value added (current US$)",0,0,0,0,0,0,24186156390,20319205459,18283182996,23347136323,30879673369,34552717402,40476067970,49490047150,50721232001,61448446177,56960070104,67814791958,59968536870,70634113130,76199750125,74376428849,75432908244,83100490460,90841714536,1.06511E+11,1.04177E+11,93155489036,1.07104E+11,1.17998E+11,1.16573E+11,1.23279E+11,1.38364E+11,1.49639E+11,1.88056E+11,2.45004E+11,2.86889E+11,3.16117E+11,3.24608E+11,3.42226E+11,3.84937E+11,4.19112E+11,4.56719E+11,5.39034E+11,6.25224E+11,7.33656E+11,8.93131E+11,1.14972E+12,1.47566E+12,1.61195E+12,1.92432E+12,2.36884E+12,2.62429E+12,2.85698E+12,0,0,0
Poverty gap at national poverty lines (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevalence of HIV, total (% of population ages 15-49)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit tax (% of commercial profits),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural population (% of total population),83.797,83.292,82.774,82.243,81.701,81.914,82.085,82.215,82.344,82.472,82.6,82.708,82.816,82.816,82.708,82.6,82.54,82.48,82.1,81.383,80.642,79.882,79.098,78.455,77.797,77.126,76.441,75.741,75.026,74.299,73.558,72.688,71.8,70.897,69.976,69.039,68.084,67.117,66.133,65.135,64.123,62.907,61.575,60.224,58.856,57.478,56.132,54.801,53.461,52.12,50.774,49.427,48.111,46.832,45.59,44.386,0
"School enrollment, primary (% net)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.48749,96.27277,96.49342,96.84793,97.13138,97.19181,95.90845,94.1896,92.30218,90.91295,77.61257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Self-employed, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short-term debt (% of total reserves),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.40990508,20.08904949,26.31400386,38.02488935,37.00946011,36.61423461,37.07552672,29.96196073,27.02486092,22.38138873,55.38648672,55.93074823,30.25717299,27.80655802,22.73993428,21.48475822,11.34497694,9.40438611,7.615139568,25.58430622,22.05955468,21.16605591,18.58419922,17.83320701,16.04220114,13.17270143,9.521080167,9.805091627,17.58317435,23.70009933,23.38317243,27.75589644,31.78050199,27.03534751,0
Tax revenue (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.569244,9.057252943,9.766344623,10.09286247,10.29279524,10.18952332,10.28412187,0,9.869762924,9.672443266,0,0
"Unemployment, total (% of total labor force) (national estimate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.300000191,5.400000095,4.900000095,3.799999952,3.200000048,2.299999952,1.899999976,1.799999952,2,2,2,2.599999905,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,0,0
"Wage and salaried workers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.36000061,91.30999756,90.79000092,89.59999847,88.75,87.87000275,86.30000305,0,0
