Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,CAN,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,95.64324,95.3743,94.81064,94.66262,94.97936,95.04236,95.03849,95.27471,95.27605,97.82846,97.57138,95.94382,95.38828,94.26078,95.18885,,98.50748,99.78257,99.92205,,,,,,,,,,,,99.47748,99.45674,,,
Canada,CAN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,95.5089,95.0414,94.40057,94.38503,94.79729,94.80426,94.8281,94.47,95.62105,97.62736,97.38019,95.36077,94.41387,93.60243,94.50351,,98.45903,99.85214,,,,,,,,,,,,,,,,,
Canada,CAN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,,,,,,,,,,,,,,,,,,,,,95.77076,95.69069,95.20079,94.92681,95.15254,95.26853,95.23824,96.03857,94.94856,98.01936,97.75281,96.49735,96.31429,94.88701,95.84103,,98.55364,99.71629,,,,,,,,,,,,,,,,,
Canada,CAN,Adjusted net national income (annual % growth),,,,,,,,,,,,3.788180945,5.959254654,7.009910398,3.136029133,1.792443402,6.214799298,2.438253045,3.15562011,1.305808493,2.230757731,3.47930674,-2.630417059,3.094216171,5.522763578,4.329860349,1.848934989,5.14974128,4.228346745,2.16403392,-1.054619212,-1.986510085,-0.355237811,1.934049972,4.169367588,3.820312182,1.177332673,3.801379323,1.990559805,5.864806816,6.80992273,0.753601685,3.418364143,3.698322562,4.08072082,4.466504511,3.170029239,3.026346242,1.406491933,-5.880702101,5.439779958,4.509981249,1.0091973,2.565233118,1.885826519,-1.013108575,
Canada,CAN,Adjusted net national income (constant 2010 US$),,,,,,,,,,,4.28E+11,4.44213E+11,4.70685E+11,5.0368E+11,5.19475E+11,5.28787E+11,5.6165E+11,5.75344E+11,5.935E+11,6.0125E+11,6.14662E+11,6.36048E+11,6.19317E+11,6.3848E+11,6.73742E+11,7.02914E+11,7.15911E+11,7.52778E+11,7.84608E+11,8.01587E+11,7.93134E+11,7.77378E+11,7.74617E+11,7.89598E+11,8.22519E+11,8.53942E+11,8.63996E+11,8.9684E+11,9.14692E+11,9.68337E+11,1.03428E+12,1.04207E+12,1.0777E+12,1.11755E+12,1.16316E+12,1.21511E+12,1.25363E+12,1.29157E+12,1.30973E+12,1.23271E+12,1.29977E+12,1.35839E+12,1.3721E+12,1.40729E+12,1.43383E+12,1.41931E+12,
Canada,CAN,Adjusted net national income (current US$),,,,,,,,,,,73350676990,83143000592,95277899771,1.09576E+11,1.31444E+11,1.43671E+11,1.71024E+11,1.74364E+11,1.79794E+11,1.93745E+11,2.16978E+11,2.44913E+11,2.50068E+11,2.73587E+11,2.85648E+11,2.93826E+11,3.06572E+11,3.51643E+11,4.12224E+11,4.57368E+11,4.77197E+11,4.94087E+11,4.75947E+11,4.63243E+11,4.63526E+11,4.85156E+11,5.0039E+11,5.2233E+11,5.03547E+11,5.3979E+11,5.91914E+11,5.81807E+11,6.07557E+11,7.18219E+11,8.211E+11,9.40474E+11,1.06185E+12,1.18363E+12,1.23917E+12,1.09613E+12,1.29977E+12,1.44593E+12,1.47062E+12,1.48664E+12,1.44304E+12,1.25383E+12,
Canada,CAN,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,2.246452696,4.28222403,5.212282892,1.303376735,-0.115043216,4.819256608,1.241504249,2.125608926,0.300136464,0.91717584,2.203477537,-3.797213902,2.065541952,4.512779925,3.36466235,0.83060111,3.779428267,2.891340624,0.358000375,-2.521478875,-3.310959629,-1.570819764,0.82463454,3.172842242,2.964065174,0.093334882,2.709961155,1.111525593,4.992527348,5.870944316,-0.258410915,2.49471502,2.670374801,3.043003991,3.441625769,2.351191201,2.031971287,0.314990583,-6.952073197,4.2717411,3.48290232,-0.17605074,1.383929021,0.770463292,-1.852654889,
Canada,CAN,Adjusted net national income per capita (constant 2010 US$),,,,,,,,,,,20071.276,20522.16772,21400.97292,22516.45217,22809.92637,22783.6851,23881.68935,24178.18154,24692.11512,24766.22516,24993.375,25544.0984,24574.13434,25081.7234,26213.60638,27095.60572,27320.66212,28353.22695,29173.01532,29277.45482,28539.22998,27594.3076,27160.85076,27384.82852,28253.70593,29091.16418,29118.31639,29907.41145,30239.83998,31749.57227,33613.57197,33526.71083,34363.10673,35280.73047,36354.3245,37605.5043,38489.68161,39271.78089,39395.4833,36656.68047,38222.55895,39553.81335,39484.17856,40030.61157,40339.03274,39591.68968,
Canada,CAN,Adjusted net national income per capita (current US$),,,,,,,,,,,3439.817904,3841.115528,4332.06776,4898.466017,5771.649033,6190.31627,7272.046406,7327.443869,7480.181731,7980.585501,8822.738427,9835.856367,9922.558837,10747.42893,11113.85098,11326.26372,11699.45007,13244.55583,15327.16446,16705.06445,17170.93543,17538.4189,16688.4194,16066.20016,15922.21404,16527.77426,16864.10904,17418.42614,16647.34078,17698.49247,19236.90818,18718.50587,19372.39047,22673.90581,25663.39737,29106.01641,32601.50838,35989.8074,37273.07326,32595.33411,38222.55895,42102.88424,42319.47249,42287.60374,40598.03677,34975.7323,
Canada,CAN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",,,,,,,,,,,14.66634571,14.49084369,14.42421982,15.07612254,14.01895743,11.86491835,12.9619434,12.28268691,12.1513683,11.17067346,10.21086015,11.80252109,9.275057826,9.866570455,10.49784677,9.620607117,9.148442477,10.25756965,10.89343391,9.867318606,6.917700721,4.99953807,3.985675335,4.454919964,6.97273115,8.6302199,8.529437961,9.246830084,7.308844509,8.75607499,10.57538643,8.524073768,8.34478829,8.755549196,9.980030129,10.78384642,10.84530664,10.63133363,9.423472891,3.990029303,6.232811428,7.922459505,7.618503402,8.056368545,8.188617399,6.06613316,
Canada,CAN,"Adjusted net savings, excluding particulate emission damage (current US$)",,,,,,,,,,,12701592142,14174651227,16095121440,19522975639,22154158425,20313452118,26296931530,25445182682,25910605650,26415626654,27207041095,34930151299,28069942253,32611975324,36147550705,34015099554,33362814480,42873050982,53471945418,53831452677,39602522262,29498724476,22761394704,24835688756,38863702428,50327731460,51824353282,58486847556,44619180138,57198884753,76433816931,60995885144,61643284892,76204185096,99907087617,1.23515E+11,1.40384E+11,1.53448E+11,1.43831E+11,53764846854,98568173044,1.39026E+11,1.36511E+11,1.46182E+11,1.44406E+11,92748142952,
Canada,CAN,"Adjusted net savings, including particulate emission damage (% of GNI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.832398625,4.915718475,3.904236351,4.379307812,6.899999546,8.563422867,8.465015399,9.185398319,7.249820139,8.700471003,10.52355036,8.472053378,8.29130533,8.700603188,9.925965171,10.73064943,10.7950651,10.5820571,9.374486033,3.939306401,6.183576305,7.874013001,7.569664672,8.007056148,8.139517365,6.016658485,
Canada,CAN,"Adjusted net savings, including particulate emission damage (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39114183972,29004164560,22296312953,24414159328,38458320467,49938199886,51432925664,58098287347,44258846981,56835652818,76059170693,60623641798,61248204127,75725960867,99365859537,1.22906E+11,1.39733E+11,1.52737E+11,1.43084E+11,53081365893,97789549121,1.38176E+11,1.35636E+11,1.45287E+11,1.4354E+11,91991699903,
Canada,CAN,Adjusted savings: carbon dioxide damage (% of GNI),,,,,,,,,,,0.654910355,0.647988773,0.659806941,0.618251482,0.581137382,0.614775894,0.566784788,0.620606294,0.67724665,0.723786272,0.723195777,0.711359366,0.734081779,0.709013397,0.755913473,0.776056819,0.758715496,0.744645175,0.714654704,0.698948367,0.668291581,0.676775478,0.7613674,0.830952354,0.896407816,0.922062719,0.951412885,0.989178207,1.091109925,1.08530383,1.071486629,1.12612408,1.12226795,1.065875343,0.979259327,0.908955405,0.832241349,0.793772959,0.78569239,0.854873138,0.749722856,0.717114642,0.713403743,0.728366452,0.77929109,0.913403227,
Canada,CAN,Adjusted savings: carbon dioxide damage (current US$),,,,,,,,,,,455812295.3,500368956.7,570899397,609815119.8,687117798.1,773544501.2,830115494.7,911697007.7,1005906406,1171078161,1295105275,1389891464,1440695384,1492807649,1628642240,1686451067,1670480574,1845748982,2043513602,2181914615,2150398082,2204682577,2355359053,2467737607,2614466843,2762832651,2918992497,3098670802,3245065542,3392728702,3640257527,3720725590,3760055921,4133012201,4290027814,4563974728,4645264233,4911567024,4909920975,4662199656,4662363891,4705518950,4933449432,5160951669,5420376376,,
Canada,CAN,Adjusted savings: consumption of fixed capital (% of GNI),,,,,,,,,,,14.05863076,14.00858888,13.60378941,13.49970536,13.68483787,13.90768756,13.8223214,13.91489893,14.07309808,14.25266702,14.70344207,14.92191999,16.054256,15.56077205,15.20501019,15.01096736,15.0518939,14.57883449,14.43519726,14.69452492,15.21055593,15.18795006,15.39686189,15.449456,15.46980648,15.51046501,15.76971724,15.77252592,16.39760687,16.07904863,15.57371763,16.12366823,16.10233953,15.48179564,15.0195758,14.97640091,15.26085105,15.55153482,16.11065836,17.83013801,16.95076814,16.60696051,17.10794657,17.27989916,17.18336081,17.49943403,
Canada,CAN,Adjusted savings: consumption of fixed capital (current US$),,,,,,,,,,,12175288751,13702919293,15179652380,17481578455,21626149290,23810795560,28042449211,28826522076,30008348494,33703709292,39177615460,44162168313,48586439831,51433019847,52355867747,53073526729,54891698226,60934425587,70857186681,80166421561,87077542703,89613309833,87928398873,86129017765,86223596288,90450362427,95815855765,99762330490,1.00104E+11,1.05036E+11,1.12559E+11,1.15376E+11,1.18949E+11,1.34746E+11,1.50356E+11,1.71535E+11,1.9754E+11,2.24465E+11,2.45899E+11,2.40258E+11,2.68066E+11,2.91426E+11,3.06547E+11,3.13542E+11,3.03029E+11,2.67558E+11,
Canada,CAN,Adjusted savings: education expenditure (% of GNI),,,,,,,,,,,7.3245215,6.7,6.8,6.3,6.1,6,6.2,6.4,6.8,6.4,6.2,6.2,6.3,6.7,6.4,6,5.9,6.1,6,5.9,5.8,6.1,6.6,6.7,7.1,6.7,6.9069023,6.9069023,5.496330869,5.508742293,5.401868729,5.05,5.005200082,4.890133388,4.775066694,4.66,4.625,4.59,4.38,4.58,5,4.93,4.93,4.93,4.93,4.93,
Canada,CAN,Adjusted savings: education expenditure (current US$),,,,,,,,,,,6343303680,6553804958,7587712000,8158248000,9639830000,10272360000,12578436000,13258432000,14499776000,15134272000,16520024000,18349210000,19066257000,22145510000,22037312000,21213900000,21516297000,25495865000,29451840000,32187627000,33203898000,35991769000,37691280000,37351763000,39573057000,39071519000,41965923961,43686640531,33554110616,35985748854,39042114274,36136386000,36973613210,42561422644,47801760152,53374242000,59866925000,66250224000,66852378000,61714584000,79072000000,86513612000,88337712000,89454357000,86940550000,75377235000,
Canada,CAN,Adjusted savings: energy depletion (% of GNI),,,,,,,,,,,0.278364745,0.300380243,0.367707826,0.559618149,1.755583793,1.58188555,1.341363757,1.481564525,1.331181553,3.311372567,3.160101816,1.938826889,1.039758906,1.368460426,1.5228839,1.62162726,0.692339875,1.003275446,0.776538578,0.862840954,0.998548705,0.779292449,1.004679654,1.312814867,1.172551003,1.01851757,1.664253064,1.453203674,1.041642965,1.216042102,2.39570345,2.499205239,1.544864348,1.86124658,2.729793145,2.622597676,2.082962292,1.640279578,2.103933205,0.495576999,0.349067897,0.373325171,0.282651375,0.329084572,0.477436623,0.067604887,
Canada,CAN,Adjusted savings: energy depletion (current US$),,,,,,,,,,,241074056.3,293825899.4,410303100.2,724683117.9,2774349069,2708282974,2721331963,3069253516,2838505048,7830502051,8420154492,5738055120,3146715954,4523172247,5243791819,5733506421,2524845827,4193340216,3811748325,4707254709,5716501610,4598051446,5737524568,7318798475,6535412350,5939556506,10111901760,9191614961,6359042803,7943770712,17314994601,17883612910,11411974731,16199415451,27327140233,30038446998,26962280505,23675139312,32112542901,6677800948,5520299352,6551259437,5064660389,5971206649,8419594845,1033644916,
Canada,CAN,Adjusted savings: gross savings (% of GNI),,,,,,,,,,,23.29976312,23.44116965,22.897299,24.77717136,25.32348604,22.56267284,23.02980678,22.33587762,21.71033823,23.56346191,23.30189453,23.56044439,21.07987728,21.1035143,21.89678143,21.29286908,19.94171334,20.77008298,21.62885562,20.83054691,18.43002444,15.83691619,14.80546717,15.49124816,17.60560777,19.65748945,20.2178958,20.7482983,20.42005468,21.70090886,24.34781185,23.29371146,22.21557152,22.41097045,24.16207005,24.92185369,25.01986161,24.82999205,24.6416465,18.9178446,19.79357838,21.31290582,21.32847177,21.92312013,22.20971633,20.04349092,
Canada,CAN,Adjusted savings: mineral depletion (% of GNI),,,,,,,,,,,0.966033053,0.693368067,0.641798778,1.323557114,1.382942753,0.593361888,0.537382784,0.436067302,0.277396623,0.504968626,0.704300927,0.385853604,0.276737767,0.298689069,0.315143383,0.263610197,0.19032047,0.285736107,0.80897701,0.606973891,0.434859689,0.293354855,0.256895843,0.143114476,0.194125773,0.276219837,0.210022737,0.193393294,0.077220884,0.073219392,0.133345336,0.070601438,0.106468783,0.136573464,0.228355012,0.290102558,0.623493119,0.802989769,0.597960757,0.327288567,0.511235505,0.6230234,0.535961737,0.4594663,0.511047414,0.426918597,
Canada,CAN,Adjusted savings: mineral depletion (current US$),,,,,,,,,,,836619978.2,678238667.6,716144748.5,1713953520,2185464432,1015871154,1090231445,903370105.4,591498368,1194114460,1876623907,1141953034,837516409.2,987256978.6,1085142665,932033392.5,694066400,1194276921,3970976912,3311364269,2489489097,1730878716,1467080782,797847458.9,1081992999,1610795315,1276085546,1223226123,471419595.6,478304211.9,963756081.3,505204122.1,786489155.5,1188671244,2285993521,3322747672,8070619637,11590033129,9126734826,4410147987,8084882769,10933063836,9603576782,8336970076,9012321141,6527371892,
Canada,CAN,Adjusted savings: natural resources depletion (% of GNI),,,,,,,,,,,1.244397797,0.99374831,1.009506604,1.883175262,3.138526546,2.175247438,1.878746541,1.917631827,1.608578176,3.816341194,3.864402744,2.324680494,1.316496672,1.667149495,1.838027283,1.885237457,0.882660345,1.289011553,1.585515588,1.469814845,1.433408394,1.072647304,1.261575497,1.455929343,1.366676776,1.294737407,1.8742758,1.646596968,1.118863848,1.289261494,2.529048786,2.569806677,1.65133313,1.997820045,2.958148157,2.912700234,2.706455412,2.443269347,2.701893962,0.822865566,0.860303402,0.996348572,0.818613111,0.788550872,0.988484037,0.494523484,
Canada,CAN,Adjusted savings: net forest depletion (% of GNI),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,CAN,Adjusted savings: net forest depletion (current US$),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canada,CAN,Adjusted savings: net national savings (% of GNI),,,,,,,,,,,9.241132364,9.432580772,9.293533361,11.27754928,11.63862136,8.654941686,9.207474729,8.42092503,7.637193124,9.310800927,8.598458674,8.638560952,5.025636277,5.542733346,6.691787522,6.281901393,4.889818318,6.191226377,7.1936042,6.136081818,3.219400696,0.648960852,-0.591381767,0.041801661,2.135815742,4.147020026,4.448224346,4.975702958,4.022487413,5.621898021,8.774053117,7.170004525,6.113189289,6.929111197,9.14237092,9.945502058,9.759003398,9.278375939,8.531059242,1.087768007,2.842837686,4.705922718,4.220520256,4.643285869,5.026392525,2.544059871,
Canada,CAN,Adjusted savings: net national savings (current US$),,,,,,,,,,,8003158832,9226760393,10370096265,14603975216,18392513331,14817779462,18679940581,17445040921,16284939643,22017530275,22910765105,25566253065,15209535372,18320396530,23042032727,22210604659,17832336138,25877159325,35310813319,33475578439,18430457297,3829057224,-3377262995,233039659.9,11904332128,24183637573,27027144235,31471669510,24556561611,36724936384,63414644383,51306544779,45158373808,60307727172,91521532565,1.13913E+11,1.26322E+11,1.3392E+11,1.3021E+11,14657456343,44957772305,82581414230,75624970160,84251957771,88640432176,38897403395,
Canada,CAN,Adjusted savings: particulate emission damage (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085302096,0.083819595,0.081438984,0.075612152,0.072731604,0.066797033,0.064422561,0.061431764,0.05902437,0.055603987,0.051836071,0.05202039,0.05348296,0.054946008,0.054064958,0.053196985,0.050241542,0.049276535,0.048986857,0.050722902,0.049235123,0.048446503,0.04883873,0.049312397,0.049100033,0.049474675,
Canada,CAN,Adjusted savings: particulate emission damage (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488338290.4,494559915.9,465081751.5,421529428,405381960.5,389531573.9,391427618.3,388560209,360333157.1,363231934.7,374646238.1,372243346.9,395080764.7,478224229.1,541228079.6,609302307,650336563.6,711237792.9,747691302.4,683480960.6,778623923.6,850158618,875111907.9,894768510.1,865879090.2,756443048.4,
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",55.6166,54.8488,54.081,52.2786,50.4762,48.6738,46.8714,45.069,43.4946,41.9202,40.3458,38.7714,37.197,35.7988,34.4006,33.0024,31.6042,30.206,29.142,28.078,27.014,25.95,24.886,24.5578,24.2296,23.9014,23.5732,23.245,23.6238,24.0026,24.3814,24.7602,25.139,24.133,23.127,22.121,21.115,20.109,18.9676,17.8262,16.6848,15.5434,14.402,14.3096,14.2172,14.1248,14.0324,13.94,13.4188,12.8976,12.3764,11.8552,11.334,10.7086,10.0832,9.4578,
Canada,CAN,Adolescents out of school (% of lower secondary school age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60504,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Adolescents out of school, female (% of female lower secondary school age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06932,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Adolescents out of school, male (% of male lower secondary school age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16559,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Adults (ages 15+) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Age dependency ratio (% of working-age population),70.66209599,71.02857715,71.04245848,70.74913527,70.21625171,69.46459505,68.27306402,66.75954233,65.05225395,63.29995759,61.5852143,59.61316094,57.87384424,56.26533006,54.65009548,52.99710578,51.85051267,50.58383509,49.32272676,48.23643997,47.39765788,46.79260804,46.37747676,46.14407224,46.03936562,46.03365676,46.12220476,46.26484767,46.45257237,46.67354168,46.91076129,47.17997385,47.45575257,47.6821132,47.79451561,47.76788631,47.76547778,47.56656063,47.22646004,46.83513126,46.44684925,45.97067831,45.55465853,45.17690789,44.80995159,44.47005886,44.2012792,43.99535263,43.89356859,43.93793328,44.14449754,44.61273579,45.13154371,45.74648545,46.47260426,47.29240385,
Canada,CAN,"Age dependency ratio, old (% of working-age population)",13.09301332,13.12408207,13.12767868,13.11420708,13.0963195,13.08117172,13.02455236,12.9740999,12.93601019,12.91126595,12.89941646,12.88873361,12.87763682,12.87828809,12.90358418,12.95945936,13.11795243,13.29240899,13.47695385,13.66167042,13.84370454,14.03311394,14.21927547,14.42084785,14.65896071,14.94271858,15.21193826,15.51638045,15.84404465,16.17433789,16.49355186,16.76422962,17.01151567,17.2372431,17.44518546,17.63957179,17.81668692,17.97979788,18.12823775,18.25953824,18.37575582,18.4700982,18.55636252,18.65075948,18.77272853,18.93708184,19.11222179,19.32854183,19.60218519,19.95489496,20.40058664,20.90865198,21.51837706,22.22169939,22.98293995,23.76677478,
Canada,CAN,"Age dependency ratio, young (% of working-age population)",57.56908266,57.90449508,57.9147798,57.63492819,57.11993221,56.38342333,55.24851166,53.78544243,52.11624376,50.38869164,48.68579784,46.72442733,44.99620742,43.38704197,41.7465113,40.03764642,38.73256024,37.29142611,35.84577291,34.57476955,33.55395334,32.75949411,32.15820129,31.72322439,31.38040492,31.09093818,30.9102665,30.74846722,30.60852773,30.49920379,30.41720943,30.41574423,30.4442369,30.4448701,30.34933016,30.12831452,29.94879086,29.58676275,29.0982223,28.57559302,28.07109343,27.50058011,26.99829601,26.52614841,26.03722306,25.53297702,25.08905741,24.6668108,24.29138339,23.98303832,23.74391089,23.7040838,23.61316665,23.52478606,23.48966431,23.52562907,
Canada,CAN,Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.250573488,,,,,1.21703341,,,,,,
Canada,CAN,Agricultural land (% of land area),,7.678553166,7.692629139,7.706705112,7.720671116,7.734857057,7.748823062,7.709234388,7.669535746,7.629837104,7.590138461,7.550549788,7.545271298,7.540102777,7.534934255,7.529765734,7.524597213,7.468843164,7.413089115,7.357225098,7.301471049,7.245717,7.288274825,7.330942617,7.373500442,7.416168234,7.45861609,7.457186499,7.455646939,7.453887443,7.452347883,7.450698355,7.457406436,7.464004548,7.470602661,7.477200773,7.483908854,7.471702346,7.459605807,7.447399299,7.43530276,7.423096252,7.42474578,7.426725214,7.428484711,7.430464144,7.252864955,7.179010085,7.105155215,7.031410314,6.957555443,6.883700573,7.197000938,7.186553927,7.176106916,,
Canada,CAN,Agricultural land (sq. km),,698250,699530,700810,702080,703370,704640,701040,697430,693820,690210,686610,686130,685660,685190,684720,684250,679180,674110,669030,663960,658890,662760,666640,670510,674390,678250,678120,677980,677820,677680,677530,678140,678740,679340,679940,680550,679440,678340,677230,676130,675020,675170,675350,675510,675690,659540,652824,646108,639402,632686,625970,654460,653510,652560,,
Canada,CAN,"Agricultural machinery, tractors",,549789,558379,567963,577593,586905,597940,597162,596825,596634,596426,596244,605118,615822,617328,625840,634481,645623,656897,657100,657400,657606,672000,686000,700000,714000,728074,742200,756300,770400,750000,734149,730000,725000,720000,715000,711335,715000,719000,724000,729000,732521,732650,732780,732915,733050,733182,,,,,,,,,,
Canada,CAN,"Agricultural machinery, tractors per 100 sq. km of arable land",,134.6103371,135.4499806,136.5164407,137.5745522,138.5353476,139.8853667,139.6739486,139.5690099,139.4949849,139.4202763,139.3484154,141.0695885,143.2044276,143.1950082,144.8066822,146.4400951,147.8210001,149.2099943,148.0822103,146.9937169,145.9012247,148.982397,151.9750105,154.9598211,157.9436358,160.9394549,163.8193617,166.6887067,169.5497161,164.8206751,161.1035769,160.221237,159.1552697,158.08541,157.0151745,156.2377825,156.8016842,157.4372112,158.2894248,159.1355599,159.6602005,160.2261296,160.7925746,161.3674894,161.9427385,162.5248271,,,,,,,,,,
Canada,CAN,Agricultural methane emissions (% of total),,,,,,,,,,,28.08483937,27.88820553,29.05714462,28.77062124,29.71833357,31.16426261,29.54555613,30.03052373,30.27895142,25.66264507,24.64506175,24.94427131,28.37545498,27.63707149,26.62964283,25.27970231,24.76392097,24.14681799,23.34199175,20.2389029,24.52697207,23.29026401,23.61125422,22.15575676,19.31507113,19.49967122,22.94754159,23.04653549,19.88499255,22.00514368,22.82294061,23.28618288,22.81219571,21.74646176,22.35058885,24.08578182,25.22798933,25.90335832,26.79670065,,,,,,,,
Canada,CAN,Agricultural methane emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,18899.83308,19006.9276,19188.43753,19375.14332,19758.20435,20180.54291,20023.52566,19571.73317,18934.70004,18759.47053,19458.82889,19582.50019,19578.5248,19108.0225,18942.94317,18624.97235,18143.75722,17903.56161,18311.23232,18690.48515,18925.87009,18975.5097,19691.92769,19805.00881,20177.87536,21375.92959,22467.84618,22618.37696,22857.40124,23057.42965,23318.19842,23997.11004,24367.75934,24168.36521,25591.42423,26137.64957,27234.6236,27969.15115,28900.24166,,,,,,,,
