Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Export value index (2000 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.45142876,85.73449392,87.82798104,80.93850147,87.49374082,100,84.1851382,86.94543664,98.43958639,118.0220574,124.1280683,134.932288,149.0367197,163.0333162,121.160772,160.6051025,171.7485143,166.6126127,149.1974154,144.006515,130.3867913,
Female share of employment in senior and middle management (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firms with female top manager (% of firms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Foreign direct investment, net (BoP, current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26440694397,21500257091,17293070283,9481358284,34339324666,30734354196,19344378431,25693039712,33085785004,46205395350,60549386567,51358484681,89018788218,61450645281,72215534552,1.17686E+11,1.17085E+11,1.45036E+11,1.17846E+11,1.30782E+11,
"Foreign direct investment, net inflows (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002819265,0.001003269,0.023133586,0.025759252,0.015814016,0.039396842,0.033658799,-0.000772434,0.046060015,0.011030134,0.046724371,-0.015976054,-0.034407087,0.057265918,0.036352629,0.07163574,0.00268855,0.018579217,0.000721805,0.004295694,0.072486306,0.081043954,0.269797913,0.218682871,0.114464574,0.280851696,0.197305674,0.156338846,0.114808557,-0.052907509,0.479068377,0.488791043,0.233713959,0.130541286,-0.013816036,0.008817409,0.206536579,0.37967002,-0.000955628,
GDP (current US$),44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,1.05628E+11,1.23782E+11,1.46601E+11,1.72204E+11,2.09071E+11,2.36155E+11,3.12738E+11,4.24891E+11,4.71643E+11,5.12861E+11,5.76406E+11,7.09405E+11,9.96742E+11,1.03745E+12,1.08699E+12,1.20147E+12,1.11684E+12,1.21811E+12,1.29461E+12,1.38453E+12,2.05106E+12,2.48524E+12,3.01539E+12,3.01705E+12,3.1037E+12,3.5368E+12,3.85279E+12,4.41496E+12,4.90704E+12,5.44912E+12,4.83371E+12,4.41473E+12,4.03251E+12,4.56208E+12,4.88752E+12,4.30354E+12,4.11512E+12,4.44566E+12,4.81515E+12,4.75541E+12,4.53038E+12,4.51526E+12,5.03791E+12,5.23138E+12,5.7001E+12,6.15746E+12,6.20321E+12,5.15572E+12,4.84873E+12,4.38308E+12,
GINI index (World Bank estimate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.11,0,0,0,0,0,0,0,
Gross domestic savings (current US$),0,0,0,0,0,0,0,0,0,0,83742956170,90257457041,1.17563E+11,1.6093E+11,1.71435E+11,1.67231E+11,1.86887E+11,2.2887E+11,3.23231E+11,3.25775E+11,3.38586E+11,3.81032E+11,3.3907E+11,3.58371E+11,3.91419E+11,4.36076E+11,6.51764E+11,7.80234E+11,9.87523E+11,1.0039E+12,1.0365E+12,1.19494E+12,1.25834E+12,1.38663E+12,1.54315E+12,1.69723E+12,1.51289E+12,1.36892E+12,1.22315E+12,1.3081E+12,1.4045E+12,1.17145E+12,1.07019E+12,1.15999E+12,1.26977E+12,1.24872E+12,1.18527E+12,1.19095E+12,1.25932E+12,1.14435E+12,1.29723E+12,1.32757E+12,1.30936E+12,1.07621E+12,1.03846E+12,1.03374E+12,
Gross savings (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56088E+12,1.41659E+12,1.26314E+12,1.35083E+12,1.46449E+12,1.22914E+12,1.12359E+12,1.22268E+12,1.35238E+12,1.34423E+12,1.29323E+12,1.315E+12,1.37828E+12,1.25982E+12,1.43208E+12,1.48816E+12,1.46118E+12,1.23917E+12,1.19488E+12,1.18363E+12,
"Hospital beds (per 1,000 people)",9,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,13.69999981,0,0,0,0,14.69999981,0,0,0,0,0,0,0,15.60000038,15.5,15.39999962,15.19999981,15.10000038,15,14.80000019,14.69999981,12.9,14.39999962,14.30000019,13.9,14.1,13.98,0,13.8,13.7,0,0,0,0,0,0,
Household final consumption expenditure (current US$),0,0,0,0,0,0,0,0,0,0,1.0165E+11,1.17671E+11,1.57105E+11,2.1184E+11,2.38246E+11,2.72551E+11,3.08229E+11,3.80605E+11,5.34801E+11,5.66553E+11,5.94967E+11,6.50798E+11,6.1846E+11,6.82851E+11,7.17879E+11,7.55678E+11,1.11396E+12,1.35838E+12,1.6188E+12,1.60838E+12,1.65353E+12,1.86665E+12,2.06171E+12,2.39666E+12,2.62643E+12,2.9148E+12,2.57409E+12,2.35714E+12,2.16561E+12,2.50023E+12,2.65937E+12,2.37748E+12,2.29897E+12,2.47685E+12,2.6737E+12,2.64515E+12,2.53178E+12,2.51402E+12,2.85366E+12,3.05987E+12,3.29183E+12,3.58684E+12,3.63755E+12,3.03981E+12,2.83277E+12,2.47911E+12,
Incidence of HIV (% of uninfected population ages 15-49),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Incidence of malaria (per 1,000 population at risk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Incidence of tuberculosis (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,30,29,27,25,23,22,22,21,20,20,19,19,18,17,
Individuals using the Internet (% of population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020293683,0.040438041,0.096678025,0.401277526,0.799684291,1.594363148,4.372981968,9.16307714,13.41404088,21.39129031,29.99074036,38.53206086,46.59420112,48.43526589,62.39392963,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,
"Inflation, consumer prices (annual %)",3.59375,5.404725993,6.773193417,7.661380389,3.838174274,6.593406594,5.079662606,3.977880841,5.369703209,5.242591989,7.673267327,6.350420811,4.8441247,11.61939616,23.17622951,11.77840626,9.391278464,8.136054422,4.214896829,3.694313654,7.812318081,4.913606911,2.717447247,1.873935264,2.291953571,2.038657563,0.603147677,0.140515222,0.664172123,2.27674008,3.034708341,3.298059965,1.707358716,1.267416485,0.687940323,-0.123477116,0.131871755,1.761461849,0.663269433,-0.329449578,-0.653015156,-0.740055504,-0.923494027,-0.256541816,-0.008573388,-0.282946069,0.249355116,0.060039454,1.380078862,-1.35283673,-0.719979429,-0.267633601,-0.051939058,0.346440326,2.761954083,0.78951789,
"International tourism, number of arrivals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345000,3837000,4218000,4106000,4438000,4757000,4772000,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,
"International tourism, expenditures for travel items (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36764000000,37058000000,33009000000,28806000000,32772000000,31884000000,26531000000,26656000000,28958000000,38252000000,37565000000,26876000000,26511000000,27901000000,25199000000,27950000000,27262000000,27906000000,21861000000,19314000000,15971000000,
"Labor force, female (% of total labor force)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.76003611,40.88319677,40.78246616,40.56489435,40.55486325,40.50194786,40.50502516,40.69747198,40.73111002,40.61529226,40.633678,40.83110903,40.81665545,41.00347147,41.17748147,41.31240162,41.4218928,41.44466376,41.54333818,41.90509801,42.44402714,42.0811257,42.24111156,42.67080061,42.88555663,42.89390185,
"Labor force with advanced education, male (% of male working-age population with advanced education)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.83999634,86.73000336,0,85.95999908,
"Life expectancy at birth, total (years)",67.66609756,68.31,68.59487805,69.65804878,70.13243902,70.20195122,70.98658537,71.27658537,71.61121951,71.83878049,71.9502439,72.88292683,73.50658537,73.75756098,74.39390244,75.05731707,75.45682927,75.89829268,76.03829268,76.33756098,76.09170732,76.41439024,76.92292683,76.96146341,77.36536585,77.6504878,78.06463415,78.48365854,78.39926829,78.81804878,78.83682927,79.10073171,79.15390244,79.29365854,79.68707317,79.53634146,80.2002439,80.42414634,80.50146341,80.57073171,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.84365854,
"Life expectancy at birth, male (years)",65.31,65.91,66.19,67.18,67.63,67.68,68.45,68.74,69.06,69.19,69.36,70.4,71.17,71.66,72.55,73.35,73.73,74.03,73.97,74.04,73.56,73.79,74.24,74.22,74.58,74.87,75.25,75.63,75.57,75.94,75.91,76.13,76.11,76.24,76.57,76.39,77.01,77.19,77.16,77.4,77.72,78.1,78.1,78.36,78.64,78.53,79,79.19,79.29,79.59,79.55,79.44,79.94,80.21,80.5,80.79,
"Life expectancy at birth, female (years)",70.14,70.83,71.12,72.26,72.76,72.85,73.65,73.94,74.29,74.62,74.67,75.49,75.96,75.96,76.33,76.85,77.27,77.86,78.21,78.75,78.75,79.17,79.74,79.84,80.29,80.57,81.02,81.48,81.37,81.84,81.91,82.22,82.35,82.5,82.96,82.84,83.55,83.82,84.01,83.9,84.6,84.9,85.2,85.33,85.59,85.49,85.81,85.99,86.05,86.44,86.3,85.9,86.41,86.61,86.83,87.05,
"Literacy rate, adult total (% of people ages 15 and above)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Literacy rate, youth total (% of people ages 15-24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Losses due to theft, robbery, vandalism, and arson (% sales)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Manufacturing, value added (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93718E+11,3.22027E+11,2.98218E+11,3.24685E+11,3.54332E+11,3.74367E+11,5.3792E+11,6.42252E+11,7.75908E+11,7.7075E+11,7.92447E+11,9.03998E+11,9.51343E+11,1.02915E+12,1.0592E+12,1.16932E+12,1.03221E+12,9.42563E+11,8.32862E+11,9.3207E+11,9.97869E+11,8.18632E+11,7.65123E+11,8.33085E+11,9.10405E+11,9.04557E+11,8.62154E+11,8.79503E+11,9.54592E+11,8.90789E+11,1.07465E+12,1.09369E+12,1.10223E+12,9.0495E+11,8.50903E+11,0,
Poverty gap at national poverty lines (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Prevalence of HIV, total (% of population ages 15-49)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Profit tax (% of commercial profits),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rural population (% of total population),36.728,35.787,34.856,33.936,33.028,32.134,31.296,30.484,29.684,28.898,28.123,27.334,26.548,25.78,25.025,24.284,24.056,23.998,23.94,23.882,23.825,23.727,23.617,23.507,23.397,23.288,23.165,23.038,22.912,22.787,22.661,22.527,22.39,22.254,22.119,21.984,21.855,21.728,21.602,21.477,21.351,20.01,18.353,16.804,15.36,14.022,12.943,11.987,11.091,10.257,9.478,8.752,8.098,7.509,6.979,6.502,
"School enrollment, primary (% net)",0,0,0,0,0,0,0,0,0,0,0,99.91434,99.48954,98.91297,97.38533,98.74014,99.90365,99.89081,99.91211,99.94605,99.93558,99.95601,99.8165,99.37689,99.52191,99.91525,99.9116,99.92186,99.93737,99.96401,99.9699,99.9649,99.96924,0,99.95881,99.95917,0,0,99.9921,99.99857,99.97021,99.97465,99.97535,99.99622,99.96656,99.99935,99.97621,99.99798,99.98215,99.97265,99.94351,99.94999,99.94863,99.95,99.95001,0,
"Self-employed, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.31999969,21.17000008,20.18000031,19.10000038,18.63999939,18.29000092,17.68000031,17.51000023,17.31999969,17.18000031,16.61000061,15.88000011,15.39999962,15.14000034,14.94999981,14.65999985,13.78999996,13.38000011,13.01000023,12.67000008,12.27000046,11.85999966,11.78999996,11.53999996,11.42000008,0,
Short-term debt (% of total reserves),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tax revenue (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,10.67463228,11.8889175,11.47876545,9.511804638,9.285422592,9.317403133,9.410456517,10.11359825,10.70823375,11.13990995,11.13491615,11.08171082,11.33468397,11.56359875,11.46525065,12.37918105,12.68645753,12.57358107,13.06876245,13.31001316,11.79621957,11.69362533,0,0,0,0,0,0,0,0,0,0,0,10.13701108,10.51274133,10.10618629,8.931591654,8.36891038,8.809784435,9.356797858,9.682412944,10.36061765,11.47318074,0,
"Unemployment, total (% of total labor force) (national estimate)",1.659999967,1.450000048,1.279999971,1.269999981,1.149999976,1.190000057,1.330000043,1.25999999,1.169999957,1.120000005,1.139999986,1.230000019,1.399999976,1.279999971,1.370000005,1.879999995,2.00999999,2.019999981,2.24000001,2.089999914,2.019999981,2.210000038,2.359999895,2.650000095,2.720000029,2.619999886,2.769999981,2.839999914,2.50999999,2.25999999,2.099999905,2.089999914,2.160000086,2.50999999,2.890000105,3.150000095,3.349999905,3.390000105,4.110000134,4.679999828,4.730000019,5.039999962,5.369999886,5.25,4.710000038,4.420000076,4.130000114,3.849999905,3.980000019,5.079999924,5.070000172,4.550000191,4.349999905,4.03000021,3.579999924,3.329999924,
"Wage and salaried workers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.37000275,78.54000092,79.54000092,80.65000153,81.13999939,81.51000214,82.05000305,82.22000122,82.41000366,82.5,83.08999634,83.73000336,84.22000122,84.47000122,84.61000061,84.84999847,85.73999786,86.13999939,86.51999664,86.91000366,87.30999756,87.73999786,87.77999878,87.98999786,88.09999847,88.45999908,
