Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Death rate, crude (per 1,000 people)",9.5,9.3,9.5,9.6,9.4,9.4,9.5,9.4,9.8,9.5,9.5,9.3,9.4,9.3,9.1,8.8,8.8,8.6,8.7,8.5,8.8,8.6,8.5,8.6,8.7,8.7,8.7,8.6,8.9,8.8,8.6,8.6,8.5,8.8,8.8,8.8,8.8,8.7,8.6,8.6,8.5,8.5,8.5,8.4,8.2,8.3,8.1,8,8.1,7.9,8,8.1,8.1,8.2,8.2,8.2,0
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66066,31.9558,32.50076,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,26.3,0,0,0,31.1,31.89131,32.15311,0,0,0,0,0,0,0,0,45.23981,0,0,0,46.54106,0,0,0,0,0,0,0,0,0,36.127,36.22994,37.36785,0,0,0,0,0,0,0,0,0,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,26.3,0,0,0,31.1,31.89131,32.15311,0,0,0,0,0,0,0,0,45.23981,0,0,0,46.54106,0,0,0,0,0,0,0,0,0,36.127,36.22994,37.36785,0,0,0,0,0,0,0,0,0,0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,94.5,0,0,0,0,0,0,0,0,0,96.43016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.47055,98.42296,98.54377,0,98.67673,98.59418,98.68843,98.7173,98.79048,98.86702,98.79341,98.77388,0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,65.7,0,0,0,0,0,0,0,0,0,77.13272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.15315,85.19178,85.72323,0,86.61413,86.70908,87.14941,87.59089,87.6791,88.15031,88.31358,88.41197,0
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56644,11.76536,11.99485,0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67716,1.76948,1.70131,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",122000000,181000000,206000000,286000000,320000000,345000000,383000000,474000000,629000000,799000000,817000000,844000000,1838000000,2748000000,2864000000,3626000000,4097000000,4286000000,3498000000,4628000000,5809000000,6421000000,5122000000,6426000000,8221000000,11382000000,12203000000,13016000000,12718000000,71143000000,96089000000,61937000000,69945000000,72278000000,73690000000,70227000000,71943000000,69953000000,69464000000,73395000000,77160000000,72174000000,81103000000,81824000000,86869000000,93760000000,1.0334E+11,1.12196E+11,1.34308E+11,1.53106E+11,1.78411E+11,2.07229E+11,2.34311E+11,2.70946E+11,2.98023E+11,3.07981E+11,0
Emigration rate of tertiary educated (% of total tertiary educated population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493213675,0,0,0,0,0,0,0,0,0,0.451035059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Employers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expense (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,17.75197298,17.85658035,17.84126677,19.42421295,19.68856836,19.56421795,19.08323577,18.88651187,20.50686374,20.97911027,22.45506789,22.77704221,23.81175704,23.42172307,22.60860472,22.61172346,22.40801701,22.72286602,23.5676733,23.04211357,22.46311111,21.96266804,21.46288937,21.07316488,20.53233,19.70932269,19.18404413,18.04924816,17.86756915,19.43376204,19.99457254,20.5549981,20.33910097,20.64585741,20.52976323,20.85471833,22.88219069,25.677828,26.22545069,25.50614045,24.12449695,23.18344702,22.93631562,22.75597439,0
Export value index (2000 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.37550273,30.85024263,29.25160157,28.97139141,30.83060327,31.82655595,36.77922686,42.85409537,48.86304831,52.05480024,59.50854593,60.40394803,64.15912023,63.13346529,71.25175228,74.78316141,79.94099125,88.13993283,87.2390711,88.98592947,100,93.24507173,88.64139206,92.69143312,104.2148921,115.2399612,131.2115848,146.8439146,164.6517921,135.058024,163.5075545,189.5989093,197.6809589,202.0151729,207.2508754,192.4644716,0
Female share of employment in senior and middle management (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firms with female top manager (% of firms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foreign direct investment, net (BoP, current US$)",0,0,0,0,0,0,0,0,0,0,5270000000,4850000000,6060000000,7410000000,1620000000,11420000000,8410000000,8360000000,8870000000,16670000000,2300000000,-15570000000,-13456000000,-2730000000,-12410000000,-5950000000,-11422000000,-23438000000,-35209000000,-24800000000,-11290000000,14720000000,28460000000,32570000000,34050000000,40980000000,5360000000,-770000000,-36390000000,-64509000000,-1.62062E+11,-24670000000,70087000000,85814000000,1.70256E+11,-76402000000,1772000000,1.92876E+11,18990000000,1.59938E+11,95231000000,1.82996E+11,1.35212E+11,1.17657E+11,1.36072E+11,-30787000000,0
"Foreign direct investment, net inflows (% of GDP)",0,0,0,0,0,0,0,0,0,0,0.117112997,0.074500972,0.105267344,0.14840233,0.215001695,0.151575886,0.173094509,0.139025317,0.248242043,0.330529154,0.591440015,0.784501563,0.372915802,0.287784655,0.612766176,0.46034563,0.771629716,1.200583054,1.099182904,1.206322082,0.810925299,0.375442801,0.30293767,0.746941509,0.631160848,0.754169461,1.068121643,1.226576245,1.969707238,2.99611081,3.403728947,1.614327257,0.99718388,0.967328574,1.693508915,1.056437259,2.12392017,2.348898836,2.260638966,1.066584255,1.733076403,1.658791259,1.50422262,1.659393811,1.192236946,2.103683567,0
GDP (current US$),5.433E+11,5.633E+11,6.051E+11,6.386E+11,6.858E+11,7.437E+11,8.15E+11,8.617E+11,9.425E+11,1.0199E+12,1.07588E+12,1.16777E+12,1.28245E+12,1.42855E+12,1.54883E+12,1.68892E+12,1.87759E+12,2.08595E+12,2.35657E+12,2.63214E+12,2.86251E+12,3.21096E+12,3.34499E+12,3.63814E+12,4.04069E+12,4.34673E+12,4.59016E+12,4.87022E+12,5.25263E+12,5.65769E+12,5.97959E+12,6.17404E+12,6.5393E+12,6.87872E+12,7.30876E+12,7.66406E+12,8.1002E+12,8.60852E+12,9.08917E+12,9.66062E+12,1.02848E+13,1.06218E+13,1.09775E+13,1.15107E+13,1.22749E+13,1.30937E+13,1.38559E+13,1.44776E+13,1.47186E+13,1.44187E+13,1.49644E+13,1.55179E+13,1.61553E+13,1.66915E+13,1.73931E+13,1.80366E+13,0
GINI index (World Bank estimate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.73,0,0,0,0,38.36,0,0,40.35,0,0,40.86,0,0,40.46,0,0,0,40.62,0,0,41.75,0,0,40.46,0,0,41.06,0,0,0
Gross domestic savings (current US$),1.266E+11,1.315E+11,1.437E+11,1.528E+11,1.654E+11,1.831E+11,2.016E+11,2.039E+11,2.175E+11,2.438E+11,2.33792E+11,2.55955E+11,2.85459E+11,3.36677E+11,3.49875E+11,3.57628E+11,4.11234E+11,4.66678E+11,5.58578E+11,6.37211E+11,6.52994E+11,7.66054E+11,7.18009E+11,7.57041E+11,9.10544E+11,9.35503E+11,9.55363E+11,1.00205E+12,1.08597E+12,1.18339E+12,1.20596E+12,1.20982E+12,1.27439E+12,1.33354E+12,1.45817E+12,1.53541E+12,1.65563E+12,1.82316E+12,1.91402E+12,1.99603E+12,2.04822E+12,1.97359E+12,1.9421E+12,1.98955E+12,2.14597E+12,2.31956E+12,2.46205E+12,2.51741E+12,2.33637E+12,2.12971E+12,2.23998E+12,2.29777E+12,2.56048E+12,2.80662E+12,2.97218E+12,3.14806E+12,0
Gross savings (current US$),0,0,0,0,0,0,0,0,0,0,2.3139E+11,2.50226E+11,2.82823E+11,3.39078E+11,3.50567E+11,3.5251E+11,4.02313E+11,4.62524E+11,5.51119E+11,6.18224E+11,6.34748E+11,7.50376E+11,7.30496E+11,7.22064E+11,8.87442E+11,8.86471E+11,8.71446E+11,9.55715E+11,1.08382E+12,1.11782E+12,1.12264E+12,1.16293E+12,1.15793E+12,1.17339E+12,1.30495E+12,1.43553E+12,1.58783E+12,1.78991E+12,1.93922E+12,2.01182E+12,2.12728E+12,2.07683E+12,1.99917E+12,2.00008E+12,2.15567E+12,2.34879E+12,2.65858E+12,2.51162E+12,2.28078E+12,2.0816E+12,2.27178E+12,2.45005E+12,2.87576E+12,3.0653E+12,3.35233E+12,3.46245E+12,0
"Hospital beds (per 1,000 people)",9.199999809,0,0,0,0,8.800000191,0,0,0,0,7.900000095,7.5,7.400000095,7.199999809,7.099999905,6.800000191,6.599999905,6.400000095,6.199999809,6.099999905,6,5.900000095,5.900000095,5.800000191,5.699999809,5.5,5.400000095,5.199999809,5.099999905,5,4.900000095,4.800000191,4.599999905,4.5,4.300000191,4.099999905,3.900000095,3.799999952,3.700000048,3.599999905,3.5,3.5,3.400000095,3.3,0,3.2,3.1,3.1,3.1,3,3,2.9,0,0,0,0,0
Household final consumption expenditure (current US$),3.316E+11,3.42E+11,3.631E+11,3.825E+11,4.112E+11,4.436E+11,4.806E+11,5.074E+11,5.574E+11,6.045E+11,6.47688E+11,7.0099E+11,7.69431E+11,8.51143E+11,9.31999E+11,1.03276E+12,1.15017E+12,1.27667E+12,1.42617E+12,1.5895E+12,1.75462E+12,1.93751E+12,2.07391E+12,2.28652E+12,2.49816E+12,2.72267E+12,2.89841E+12,3.09205E+12,3.34689E+12,3.59281E+12,3.82563E+12,3.96015E+12,4.21565E+12,4.471E+12,4.74102E+12,4.98418E+12,5.26807E+12,5.56072E+12,5.90303E+12,6.30702E+12,6.7924E+12,7.1031E+12,7.38405E+12,7.76553E+12,8.26002E+12,8.79411E+12,9.30399E+12,9.75051E+12,1.00136E+13,9.84697E+12,1.02022E+13,1.06893E+13,1.10506E+13,1.13612E+13,1.18634E+13,1.22837E+13,0
Incidence of HIV (% of uninfected population ages 15-49),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of tuberculosis (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,6.4,6,5.9,5.7,5.5,5.3,5.1,4.9,4.3,4.1,3.9,3.6,3.3,3.2,3.2,0
Individuals using the Internet (% of population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784728502,1.163193726,1.724202539,2.271673294,4.862780635,9.237088297,16.41935296,21.61640097,30.09319659,35.84872446,43.07916264,49.08083159,58.78540388,61.69711712,64.75825648,67.96805292,68.93119327,75,74,71,71.69,69.72946076,74.7,71.4,73,74.45218272,0
"Inflation, consumer prices (annual %)",1.509929427,1.075181891,1.116071429,1.214128036,1.308615049,1.66846071,2.991000529,2.775636083,4.217721097,5.414700472,5.895295903,4.255928924,3.305614735,6.220063864,11.03526022,9.131930735,5.737027083,6.486460064,7.647463851,11.26604409,13.50937033,10.31553398,6.160616062,3.212435233,4.317269076,3.561116458,1.858736059,3.740875912,4.009088244,4.82700303,5.39795644,4.234963965,3.028819678,2.951656966,2.607441592,2.805419689,2.9312042,2.337689937,1.552279099,2.188027197,3.376857271,2.826171119,1.586031627,2.270094973,2.677236693,3.392746845,3.225944101,2.852672482,3.839100297,-0.355546266,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.118627136,1.261583206
"International tourism, number of arrivals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43318000,46489000,47767000,46377000,48509000,51238000,46927000,43581000,41218000,46086000,49206000,50977000,56135000,58007000,55103000,60010000,62821000,66657000,69995000,75022000,77510000,0
"International tourism, expenditures for travel items (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46379000000,49672000000,53808000000,58451000000,61567000000,67860000000,63689000000,62671000000,61966000000,71034000000,79990000000,84206000000,89235000000,92546000000,81421000000,86623000000,89701000000,1.00337E+11,98119000000,1.05529E+11,1.12872E+11,0
"Labor force, female (% of total labor force)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.36246123,44.47072856,44.59688405,44.70334824,45.15766835,45.1875092,45.2799762,45.43535985,45.44699943,45.49418737,45.49673586,45.55186398,45.59525124,45.74148941,45.66448866,45.6891809,45.66594031,45.71136134,45.85898208,46.06076257,46.05734814,45.9771803,45.85320689,45.7687298,45.8168897,45.7873629,45.76227782
"Labor force with advanced education, male (% of male working-age population with advanced education)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Life expectancy at birth, total (years)",69.77073171,70.27073171,70.1195122,69.91707317,70.16585366,70.21463415,70.21219512,70.56097561,69.95121951,70.50731707,70.80731707,71.10731707,71.15609756,71.35609756,71.95609756,72.60487805,72.85609756,73.25609756,73.35609756,73.80487805,73.6097561,74.0097561,74.36097561,74.46341463,74.56341463,74.56341463,74.61463415,74.76585366,74.76585366,75.01707317,75.21463415,75.36585366,75.61707317,75.4195122,75.6195122,75.62195122,76.02682927,76.42926829,76.5804878,76.58292683,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.74146341,78.74146341,0
"Life expectancy at birth, male (years)",66.6,67.1,66.9,66.6,66.8,66.8,66.7,67,66,66.8,67.1,67.4,67.4,67.6,68.2,68.8,69.1,69.5,69.6,70,70,70.4,70.8,71,71.1,71.1,71.2,71.4,71.4,71.7,71.8,72,72.3,72.2,72.4,72.5,73.1,73.6,73.8,73.9,74.1,74.3,74.4,74.5,75,75,75.2,75.5,75.6,76,76.2,76.3,76.4,76.4,76.4,76.4,0
"Life expectancy at birth, female (years)",73.1,73.6,73.5,73.4,73.7,73.8,73.9,74.3,74.1,74.4,74.7,75,75.1,75.3,75.9,76.6,76.8,77.2,77.3,77.8,77.4,77.8,78.1,78.1,78.2,78.2,78.2,78.3,78.3,78.5,78.8,78.9,79.1,78.8,79,78.9,79.1,79.4,79.5,79.4,79.3,79.5,79.6,79.7,80.1,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.2,81.2,0
"Literacy rate, adult total (% of people ages 15 and above)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Literacy rate, youth total (% of people ages 15-24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Losses due to theft, robbery, vandalism, and arson (% sales)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manufacturing, value added (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37785E+12,1.42319E+12,1.48141E+12,1.54199E+12,1.46482E+12,1.45852E+12,1.51605E+12,1.60388E+12,1.68781E+12,1.78757E+12,1.83774E+12,1.79807E+12,1.7026E+12,1.80588E+12,1.88295E+12,1.95662E+12,1.9954E+12,2.06808E+12,0,0
Poverty gap at national poverty lines (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevalence of HIV, total (% of population ages 15-49)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit tax (% of commercial profits),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural population (% of total population),30.004,29.623,29.243,28.866,28.492,28.121,27.753,27.388,27.026,26.667,26.398,26.387,26.377,26.367,26.357,26.347,26.337,26.327,26.318,26.308,26.262,26.11,25.958,25.806,25.656,25.506,25.356,25.207,25.058,24.911,24.7,24.299,23.903,23.512,23.125,22.743,22.364,21.992,21.623,21.258,20.943,20.766,20.591,20.417,20.243,20.072,19.901,19.731,19.562,19.394,19.228,19.06,18.892,18.723,18.553,18.383,0
"School enrollment, primary (% net)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.28007,0,0,0,0,0,0,0,0,0,0,93.26765,94.95087,0,0,98.04872,98.00209,0,96.04444,95.66241,97.04087,96.46288,0,0,96.56902,96.69755,96.28022,94.99747,94.74116,93.37412,93.68804,94.81912,95.86296,96.26724,94.81539,93.624,92.91374,93.16648,92.77709,93.0983,93.75419,0
"Self-employed, total (% of total employment)",16.11000061,15.98999977,15.26000023,14.47999954,14.14999962,13.60000038,12.71000004,11.06000042,10.69999981,10.52000046,10.21000004,10.18000031,9.909999847,9.659999847,9.600000381,9.659999847,9.279999733,9.279999733,9.210000038,9.260000229,9.420000076,9.350000381,9.600000381,9.670000076,9.409999847,9.090000153,8.899999619,8.930000305,8.979999542,8.880000114,8.800000191,9.020000458,8.699999809,8.819999695,8.800000191,8.520000458,8.420000076,8.25,7.940000057,7.659999847,7.570000172,7.480000019,7.360000134,7.570000172,7.570000172,7.46999979,7.400000095,7.21999979,7.019999981,7.090000153,7.039999962,6.829999924,6.769999981,6.610000134,6.460000038,6.460000038,6.400000095
Short-term debt (% of total reserves),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax revenue (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,11.78916277,11.46968007,11.81024325,11.15918251,10.72493578,11.59567027,11.51800646,11.98187181,12.11631071,12.53520758,11.9743222,10.33660909,11.15081002,10.70757953,11.5810904,11.39271618,11.58086741,11.03029097,10.62848968,10.54414425,10.80803921,11.2544227,11.47828871,11.98098658,12.52524474,12.98051987,12.99106805,12.22260591,12.9281339,11.81316881,9.824319058,9.342757633,9.492625945,10.63710207,11.27455707,11.2885012,10.30845227,7.935908958,8.610805719,9.589084263,9.821101555,10.57720518,11.02086269,11.41579633,0
"Unemployment, total (% of total labor force) (national estimate)",5.53000021,6.690000057,5.539999962,5.670000076,5.179999828,4.519999981,3.789999962,3.849999905,3.579999924,3.50999999,4.940000057,5.940000057,5.610000134,4.880000114,5.610000134,8.460000038,7.699999809,7.059999943,6.070000172,5.849999905,7.139999866,7.610000134,9.68999958,9.609999657,7.519999981,7.199999809,6.989999771,6.190000057,5.510000229,5.269999981,5.599999905,6.829999924,7.5,6.920000076,6.099999905,5.599999905,5.400000095,4.940000057,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.380000114,6.170000076,5.28000021,4.869999886
"Wage and salaried workers, total (% of total employment)",83.88999939,84.01000214,84.73999786,85.51999664,85.84999847,86.40000153,87.29000092,88.94000244,89.30000305,89.48000336,89.79000092,89.81999969,90.08999634,90.33999634,90.40000153,90.33999634,90.72000122,90.72000122,90.79000092,90.73999786,90.58000183,90.65000153,90.40000153,90.33000183,90.58999634,90.91000366,91.09999847,91.06999969,91.01999664,91.12000275,91.19999695,90.98000336,91.30000305,91.18000031,91.19999695,91.48000336,91.58000183,91.75,92.05999756,92.33999634,92.43000031,92.51999664,92.63999939,92.43000031,92.43000031,92.52999878,92.59999847,92.77999878,92.98000336,92.91000366,92.95999908,93.16999817,93.23000336,93.38999939,93.54000092,93.54000092,93.59999847
