Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18295,24.74205,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.16062,27.71277,28.81607,29.83956,30.2569,31.1495,31.79364,32.33492,33.42421,34.41009,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.16062,27.71277,28.81607,29.83956,30.2569,31.1495,31.79364,32.33492,33.42421,34.41009,0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.48408,77.62368,77.84647,79.11421,80.16417,80.61875,81.12799,81.72286,82.04736,82.30825,82.99721,83.08337,0
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74889,11.03294,0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26113,1.28924,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,2544000000,2768000000,2817000000,2912000000,1046000000,1103000000,1251000000,1221000000,1265000000,1322000000,2852000000,2934000000,2645000000,2469000000,2645000000,2832000000,2600000000,2307000000,2376000000,2540000000,1667000000,2088000000,2338000000,2642000000,3503000000,4152000000,4594000000,5705000000,7686000000,9070000000,13743000000,15162000000,21353000000,27869000000,36538000000,42867000000,51630000000,67151000000,72806000000,75827000000,83856000000,1.06102E+11,1.21703E+11,1.29368E+11,1.42926E+11,1.77054E+11,0
Emigration rate of tertiary educated (% of total tertiary educated population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.149922067,0,0,0,0,0,0,0,0,0,5.782822497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Employers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,5.130000114,4.929999828,4.960000038,4.889999866,4.699999809,5.019999981,4.880000114,4.5,4.769999981,4.960000038,5.269999981,5.119999886,5.050000191,5.079999924,5.090000153,5.110000134,5.03000021,5.019999981,4.960000038,5,5.170000076,4.909999847,4.880000114,4.840000153,4.769999981,4.829999924,4.860000134,4.769999981,4.760000229,4.71999979,4.639999866,4.619999886,0
Expense (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,20.24514255,20.66405155,22.27830168,24.5751452,24.73544507,24.8111263,24.80042872,24.34463805,25.4809535,26.27023898,26.5124157,26.09149396,27.02783724,26.80415061,26.55277836,27.0429629,26.34847806,26.96750229,33.80949716,33.72952272,32.84901965,33.37107889,39.83122893,32.97217307,32.60605715,32.61701295,32.39863643,31.66668281,31.317943,30.76500677,31.13679055,31.58183489,30.40693731,30.44996219,29.21942965,27.96986348,28.23026537,30.99452095,31.25609482,28.86157477,28.42273752,28.66080022,28.39575503,28.2368225,0
Export value index (2000 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.1047807,95.18168181,93.18230519,98.6874639,98.83763889,100,103.8510246,111.8782578,136.5362817,165.2995727,176.386484,201.3102452,240.0255623,262.7266336,203.4782981,228.7092566,267.7795327,254.5407879,262.5259813,271.5261127,241.525251,0
Female share of employment in senior and middle management (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07999992,24.29999924,25.29999924,25.71999931,26.45000076,27.30999947,28.28000069,27.94000053,27.05999947,27.52000046,27.77000046,28.04999924,0
Firms with female top manager (% of firms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foreign direct investment, net (BoP, current US$)",0,0,0,0,0,0,0,0,0,0,0,96932867.62,-92717507.51,-138757334.4,-54769412.25,1490736257,1287619730,1457079065,2336498531,3282971189,4347667647,4182452428,2259195166,1945566942,4135994597,4964708241,8205604897,6640908620,13468590800,8162668023,21480192635,18554895913,21230792928,17161390816,12338613482,27778521416,44976796451,30890644190,67478242181,53370494401,-1.49817E+11,13300140303,-34009854080,-26044647015,29523757823,29127076868,60497862973,89824664374,67063594532,42985133316,60640054569,10349172079,33647156576,28057010596,1.05588E+11,62608628931,0
"Foreign direct investment, net inflows (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0.443038155,0.635245709,0.529724998,0.490735089,0.141269406,0.255195203,0.158800099,0.21736854,0.197327051,0.036170709,0.040128266,0.09832799,0.22455168,0.073357497,0.112564212,0.215031418,0.163819708,0.076275255,0.503261503,0.1701968,0.25502716,-0.099719298,0.019401992,0.330485425,0.462470584,0.256791078,0.576755169,1.053654221,2.541261561,12.71756149,2.91855001,2.463620165,2.607953141,-0.725184181,2.091827252,2.912349683,1.478073761,0.824174902,1.657945651,2.518179116,2.594322039,1.847194475,1.671199859,0.243467402,1.374396924,0
GDP (current US$),0,0,0,0,0,0,0,0,0,0,2.15022E+11,2.49039E+11,2.98667E+11,3.96867E+11,4.43619E+11,4.8878E+11,5.17788E+11,5.98226E+11,7.37668E+11,8.78011E+11,9.46695E+11,7.97443E+11,7.73638E+11,7.67768E+11,7.22368E+11,7.29763E+11,1.0423E+12,1.29326E+12,1.39593E+12,1.39367E+12,1.76497E+12,1.86187E+12,2.12313E+12,2.06856E+12,2.20597E+12,2.59162E+12,2.50367E+12,2.21869E+12,2.24323E+12,2.19996E+12,1.94995E+12,1.95065E+12,2.07914E+12,2.50573E+12,2.81925E+12,2.86141E+12,3.00245E+12,3.43995E+12,3.75237E+12,3.41801E+12,3.4173E+12,3.75746E+12,3.54398E+12,3.75251E+12,3.87928E+12,3.36345E+12,0
GINI index (World Bank estimate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.78,32.4,31.29,31.51,31.14,30.13,0,0,0,0,0
Gross domestic savings (current US$),0,0,0,0,0,0,0,0,0,0,66645538770,74304243127,85788037968,1.11344E+11,1.143E+11,1.10158E+11,1.19733E+11,1.36662E+11,1.72481E+11,2.07425E+11,2.11697E+11,1.63317E+11,1.57087E+11,1.5925E+11,1.49579E+11,1.52376E+11,2.35303E+11,2.84975E+11,3.17412E+11,3.26574E+11,4.31244E+11,4.6683E+11,5.18803E+11,4.89755E+11,5.30089E+11,6.27412E+11,5.89753E+11,5.31727E+11,5.53262E+11,5.321E+11,4.71739E+11,4.69668E+11,5.05111E+11,5.8512E+11,6.81173E+11,6.8314E+11,7.52747E+11,9.42499E+11,1.00694E+12,7.86374E+11,8.48278E+11,9.75669E+11,9.00069E+11,9.53785E+11,1.01962E+12,9.01792E+11,0
Gross savings (current US$),0,0,0,0,0,0,0,0,0,0,0,73925399518,84789848437,1.09751E+11,1.12568E+11,1.08512E+11,1.17422E+11,1.33764E+11,1.72107E+11,2.04053E+11,2.08211E+11,1.58267E+11,1.51477E+11,1.56945E+11,1.48966E+11,1.52499E+11,2.34654E+11,2.81578E+11,3.19862E+11,3.30943E+11,4.38136E+11,4.47682E+11,5.04138E+11,4.65371E+11,4.9432E+11,5.81986E+11,5.50746E+11,4.92472E+11,5.05828E+11,4.84973E+11,4.31026E+11,4.27097E+11,4.52648E+11,5.27514E+11,6.63588E+11,6.68927E+11,7.63993E+11,9.46765E+11,9.93212E+11,8.14173E+11,8.62234E+11,1.02146E+12,9.31751E+11,9.855E+11,1.05188E+12,9.31032E+11,0
"Hospital beds (per 1,000 people)",10.5,0,0,0,0,0,0,0,0,0,11.30000019,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,11,0,0,0,0,10.39999962,10.10000038,9.899999619,9.699999809,9.699999809,9.699999809,9.600000382,9.399999619,9.300000191,9.199999809,9.100000382,9,8.899999619,0,0,8.4,8.3,0,8.2,8.2,8.25,8.2,0,0,0,0,0
Household final consumption expenditure (current US$),0,0,0,0,0,0,0,0,0,0,1.2021E+11,1.39744E+11,1.69487E+11,2.23409E+11,2.4875E+11,2.86197E+11,3.02618E+11,3.5136E+11,4.28959E+11,5.13216E+11,5.60608E+11,4.76814E+11,4.61794E+11,4.59088E+11,4.30446E+11,4.30291E+11,5.99244E+11,7.48989E+11,8.01553E+11,8.01211E+11,1.00056E+12,1.04972E+12,1.20032E+12,1.1835E+12,1.25533E+12,1.46801E+12,1.42808E+12,1.26465E+12,1.26841E+12,1.25168E+12,1.11427E+12,1.11888E+12,1.18253E+12,1.44568E+12,1.61789E+12,1.65222E+12,1.70974E+12,1.89557E+12,2.07519E+12,1.9631E+12,1.91559E+12,2.07886E+12,1.97616E+12,2.07878E+12,2.11529E+12,1.81432E+12,0
Incidence of HIV (% of uninfected population ages 15-49),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of tuberculosis (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9.8,9.8,9.9,8.7,8.1,7.3,6.6,5.9,6,5.8,5.8,5.8,6,6.2,8.1,0
Individuals using the Internet (% of population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.5898,0
"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.077330077,4.434976276,2.744552619,1.723671149,1.446061036,1.880192392,0.935622318,0.569776342,1.471334348,1.983856851,1.420806713,1.034223392,1.665736088,1.546910755,1.577429241,2.29834058,2.628383067,0.312737723,1.103808561,2.075172931,2.008491182,1.504722267,0.906797035,0.234429945,0.483355422
"International tourism, number of arrivals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14847000,15205000,15837000,16511000,17116000,18983000,17861000,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000
"International tourism, expenditures for travel items (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60260000000,59076000000,53667000000,54423000000,55879000000,52824000000,51917000000,53006000000,65234000000,71187000000,74189000000,74119000000,83154000000,91598000000,81399000000,77580000000,86166000000,83235000000,91320000000,93253000000,76278000000,0
"Labor force, female (% of total labor force)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.54457495,41.99683069,42.05124463,42.13889951,42.16842505,42.34825749,42.50017137,42.72940441,42.84394797,43.30609935,43.5032606,43.73671228,44.08157889,44.41445703,44.51291475,44.44271497,44.85590203,45.07062709,45.1711148,45.41461614,45.60787805,45.88519719,45.93412816,46.15378749,46.23481061,46.25125074,46.28195614
"Labor force with advanced education, male (% of male working-age population with advanced education)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.43000031,83.37999725,82.66000366,82.73000336,82.38999939,81.36000061,0,77.26000214,77.11000061,76.51999664,75.94000244,75.58999634,74.55999756,74.51000214,74.41999817,73.76999664,73.15000153,73.04000092,72.95999908,73.83000183,73.62000275,73.48999786,73.12000275,72.81999969,0
"Life expectancy at birth, total (years)",69.31295122,69.50995122,69.6925122,69.86009756,70.01370732,70.15182927,70.27092683,70.3735122,70.46509756,70.55068293,70.63978049,70.74287805,70.867,71.01668293,71.19541463,71.40173171,71.63414634,71.88368293,72.14280488,72.40853659,72.67790244,72.95239024,73.23097561,73.51214634,73.79285366,74.06453659,74.32163415,74.55960976,74.77895122,74.98268293,75.17736585,75.3195122,75.8195122,75.87073171,76.27073171,76.42195122,76.67317073,77.07317073,77.47560976,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,81.0902439,0
"Life expectancy at birth, male (years)",66.751,66.908,67.053,67.184,67.302,67.405,67.488,67.554,67.609,67.658,67.711,67.778,67.867,67.984,68.132,68.311,68.52,68.751,68.995,69.25,69.514,69.788,70.07,70.358,70.647,70.926,71.187,71.424,71.637,71.83,72.012,72.1,72.6,72.7,73.1,73.3,73.6,74,74.5,74.8,75,75.5,75.4,75.6,75.9,76.2,76.4,76.9,77.2,77.3,77.5,77.9,78.1,78.1,78.7,78.7,0
"Life expectancy at birth, female (years)",72.003,72.242,72.464,72.67,72.861,73.036,73.193,73.334,73.464,73.588,73.715,73.856,74.017,74.201,74.412,74.647,74.904,75.173,75.448,75.725,76,76.275,76.55,76.824,77.096,77.36,77.613,77.852,78.078,78.293,78.501,78.7,79.2,79.2,79.6,79.7,79.9,80.3,80.6,80.8,81,81.3,81.2,81.3,81.6,81.8,82,82.3,82.4,82.5,82.6,83.1,83.1,83,83.6,83.6,0
"Literacy rate, adult total (% of people ages 15 and above)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Literacy rate, youth total (% of people ages 15-24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Losses due to theft, robbery, vandalism, and arson (% sales)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Manufacturing, value added (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64345E+11,4.99599E+11,4.43299E+11,4.61511E+11,5.34661E+11,5.04086E+11,4.50342E+11,4.59827E+11,4.43149E+11,4.04199E+11,3.99993E+11,4.15358E+11,5.02691E+11,5.71733E+11,5.81271E+11,6.2836E+11,7.25602E+11,7.59815E+11,6.11063E+11,6.82351E+11,7.72872E+11,7.23736E+11,7.59715E+11,8.01993E+11,6.90482E+11,0
Poverty gap at national poverty lines (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevalence of HIV, total (% of population ages 15-49)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit tax (% of commercial profits),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,23.3,23.2,23.2
Rural population (% of total population),28.616,28.303,28.238,28.174,28.109,28.045,27.981,27.917,27.853,27.789,27.726,27.668,27.611,27.554,27.497,27.44,27.383,27.326,27.27,27.213,27.156,27.011,26.893,26.897,27.057,27.289,27.383,27.795,27.001,27.024,26.882,26.731,26.64,26.619,26.657,26.714,26.768,26.83,26.896,26.936,26.933,26.887,26.826,26.767,26.711,26.645,26.506,26.305,26.105,25.907,25.709,25.512,25.312,25.11,24.906,24.699,0
"School enrollment, primary (% net)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.97123,99.21403,99.15981,99.08778,98.61796,98.55489,98.4996,98.24617,98.16198,97.54129,97.20555,97.50861,97.74069,97.96182,98.46911,98.63278,98.6795,0
"Self-employed, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.60999966,12.76000023,12.05000019,11.93999958,11.64999962,11.47999954,11.19999981,10.98999977,9.670000076,10.02999973,10.32999992,10.63000011,10.72000027,10.64000034,10.90999985,10.97999954,10.80000019,10.86999989,11.13000011,11.09000015,11.36999989,12.06999969,12.35999966,12.14000034,11.98999977,11.64999962,11.59000015,11.56999969,11.67000008,11.56999969,11.19999981,10.96000004,10.75,0
Short-term debt (% of total reserves),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax revenue (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,10.82506092,10.96086611,10.51500995,10.08302773,10.20896071,10.53070957,10.53311266,10.41930126,10.32161956,10.09493194,9.831625343,9.787434645,10.69653266,10.50987091,10.39623007,10.39180764,10.99838471,10.74112834,12.64876115,12.66350171,11.83611354,12.21880987,11.88112266,11.03013355,10.92554716,11.09695032,11.74474663,11.479408,11.66384752,10.92510953,10.78197068,10.95640698,10.38910077,10.59881957,10.81462446,11.27234674,11.39089057,11.55803404,11.115788,11.44177839,11.55859129,11.53684754,11.51091168,11.46889693,0
"Unemployment, total (% of total labor force) (national estimate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.449999809,6.670000076,6.869999886,6.610000134,6.820000172,6.320000172,5.710000038,4.889999866,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,0
"Wage and salaried workers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.38999939,87.23999786,87.94999695,88.05999756,88.34999847,88.51999664,88.80000305,89.01000214,90.33000183,89.97000122,89.66999817,89.37000275,89.27999878,89.36000061,89.08999634,89.01999664,89.19999695,89.12999725,88.87000275,88.91000366,88.62999725,87.93000031,87.63999939,87.86000061,88.01000214,88.34999847,88.41000366,88.43000031,88.33000183,88.43000031,88.80000305,89.04000092,89.25,0
